Имя,Переменная,Включено,Пройдена ли проверка
Нейтральное положение триммера элеронов,ailerons_trim_n,Нет,Нет
Нейтральное положение триммера элеронов,ailerons_trim_n,Да,Нет
Нейтральное положение триммера РВ,elevator_trim_n,Нет,Нет
Нейтральное положение триммера РВ,elevator_trim_n,Да,Нет
Нейтральное положение триммера РН,rudder_trim_n,Нет,Нет
Нейтральное положение триммера РН,rudder_trim_n,Да,Нет
Запуск двигателя,engine_start,Нет,Нет
Запуск двигателя,engine_start,Да,Нет
Ручной режим,manual_mode,Нет,Нет
Ручной режим,manual_mode,Да,Нет
ВСУ Запуск,apu_start,Нет,Нет
ВСУ Запуск,apu_start,Да,Нет
ВСУ Работа,apu_work,Нет,Нет
ВСУ Работа,apu_work,Да,Нет
